Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
4,121,24,False,2022-10-21 14:57:05+00:00,/app/media/2022/10/21/caja-4-11-57-05..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 14:57:05.533433+00:00,2022-10-21 20:42:05.142987+00:00,1,2022-10-21 14:54:38.589000+00:00,2022-10-21 14:57:05.605250+00:00,142205394,
4,121,30,False,2022-10-21 15:12:04+00:00,/app/media/2022/10/21/caja-4-12-12-04..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 15:12:04.131042+00:00,2022-10-21 20:41:49.688969+00:00,1,2022-10-21 15:09:37.175000+00:00,2022-10-21 15:12:04.225051+00:00,142205394,
6,121,41,False,2022-10-21 15:26:56+00:00,/app/media/2022/10/21/caja-6-12-26-56..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:26:56.183989+00:00,2022-10-21 20:41:40.005036+00:00,1,2022-10-21 15:24:29.210000+00:00,2022-10-21 15:26:56.254459+00:00,142205394,
7,121,49,False,2022-10-21 15:28:05+00:00,/app/media/2022/10/21/caja-7-12-28-05..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 15:28:05.408288+00:00,2022-10-21 20:41:25.725113+00:00,1,2022-10-21 15:25:38.445000+00:00,2022-10-21 15:28:05.476988+00:00,142205394,
6,121,42,False,2022-10-21 15:28:58+00:00,/app/media/2022/10/21/caja-6-12-28-58..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:28:59.052810+00:00,2022-10-21 20:40:37.863699+00:00,1,2022-10-21 15:26:32.086000+00:00,2022-10-21 15:28:59.115934+00:00,142205394,
6,121,43,False,2022-10-21 15:31:53+00:00,/app/media/2022/10/21/caja-6-12-31-53..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:31:54.000832+00:00,2022-10-21 20:40:24.165393+00:00,1,2022-10-21 15:29:27.044000+00:00,2022-10-21 15:31:54.070305+00:00,142205394,
6,121,44,False,2022-10-21 15:45:07+00:00,/app/media/2022/10/21/caja-6-12-45-07..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:45:07.742802+00:00,2022-10-21 20:40:03.958763+00:00,1,2022-10-21 15:42:40.746000+00:00,2022-10-21 15:45:07.817332+00:00,142205394,
2,121,45,False,2022-10-21 15:46:04+00:00,/app/media/2022/10/21/caja-2-12-46-04..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:46:04.545766+00:00,2022-10-21 20:39:47.039916+00:00,1,2022-10-21 15:43:37.545000+00:00,2022-10-21 15:46:04.613015+00:00,142205394,
2,121,46,False,2022-10-21 15:49:48+00:00,/app/media/2022/10/21/caja-2-12-49-48..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:49:48.172414+00:00,2022-10-21 20:39:35.612996+00:00,1,2022-10-21 15:47:21.176000+00:00,2022-10-21 15:49:48.240992+00:00,142205394,
6,121,50,False,2022-10-21 16:05:25+00:00,/app/media/2022/10/21/caja-6-13-05-25..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 16:05:26.084685+00:00,2022-10-21 20:39:18.573170+00:00,1,2022-10-21 16:02:59.066000+00:00,2022-10-21 16:05:26.167799+00:00,142205394,
